Threshold equalization distributions
Type: THL with noise edge
From: 368
To: 590
Step: 1
Chip 0
Adj. bits 0	Adj. bits 15	Adj. equalized
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         1	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         1	         0
         0	         0	         0
         0	         0	         0
         0	         1	         0
         0	         1	         0
         0	         0	         0
         0	         1	         0
         0	         2	         0
         0	         5	         0
         0	         6	         0
         0	         8	         0
         0	        13	         0
         0	        12	         0
         0	        23	         0
         0	        28	         0
         0	        41	         0
         0	        55	         0
         0	        81	         0
         0	        88	         0
         0	       136	         0
         0	       164	         0
         0	       220	         0
         0	       295	         0
         0	       337	         0
         0	       434	         0
         0	       502	         0
         0	       556	         0
         0	       739	         0
         0	       931	         0
         0	      1001	         0
         0	      1328	         0
         0	      1459	         0
         0	      1695	         0
         0	      1790	         0
         0	      1940	         0
         0	      2199	         0
         0	      2306	         0
         0	      2616	         0
         0	      2645	         0
         0	      2808	         0
         0	      2816	         0
         0	      2658	         0
         0	      2871	         0
         0	      2715	         0
         0	      2682	         0
         0	      2800	         0
         0	      2654	         0
         0	      2464	         0
         0	      2392	         0
         0	      2136	         0
         0	      1903	         0
         0	      1694	         0
         0	      1565	         0
         0	      1297	         0
         0	      1148	         0
         0	      1038	         0
         0	       849	         0
         0	       683	         0
         0	       542	         0
         0	       458	         0
         0	       334	         0
         0	       332	         0
         0	       233	         0
         0	       195	         0
         0	       147	         0
         0	       121	         0
         0	        69	         0
         0	        47	         0
         0	        32	         0
         0	        27	         0
         0	        17	         0
         0	         6	         0
         0	         5	         0
         0	         5	         0
         0	         0	         0
         0	         1	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         1
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         2
         0	         0	         3
         0	         0	        10
         0	         0	        34
         0	         0	        86
         0	         0	       227
         0	         0	       643
         0	         0	      1097
         0	         0	      2527
         0	         0	      4223
         0	         0	      6234
         0	         0	      7245
         0	         0	      7198
         0	         0	      8255
         0	         0	      7744
         0	         0	      6655
         0	         0	      5933
         0	         0	      3584
         0	         0	      2259
         0	         0	       978
         0	         0	       349
         0	         0	        98
         0	         0	        16
         0	         0	         3
         0	         0	         0
         1	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         0	         0	         0
         1	         0	         0
         0	         0	         0
         1	         0	         0
         1	         0	         0
         2	         0	         0
         1	         0	         0
         6	         0	         0
         5	         0	         0
         6	         0	         0
         4	         0	         0
         9	         0	         0
        17	         0	         0
        31	         0	         0
        45	         0	         0
        45	         0	         0
        69	         0	         0
        74	         0	         0
        96	         0	         0
       153	         0	         0
       197	         0	         0
       232	         0	         0
       277	         0	         0
       340	         0	         0
       390	         0	         0
       484	         0	         0
       524	         0	         0
       709	         0	         0
       827	         0	         0
       938	         0	         0
      1143	         0	         0
      1336	         0	         0
      1437	         0	         0
      1542	         0	         0
      1779	         0	         0
      1754	         0	         0
      2065	         0	         0
      2402	         0	         0
      2441	         0	         0
      2127	         0	         0
      2394	         0	         0
      2554	         0	         0
      2783	         0	         0
      2735	         0	         0
      2402	         0	         0
      2594	         0	         0
      2685	         0	         0
      2372	         0	         0
      2430	         0	         0
      2230	         0	         0
      2156	         0	         0
      1782	         0	         0
      1783	         0	         0
      1673	         0	         0
      1305	         0	         0
      1329	         0	         0
      1061	         0	         0
       990	         0	         0
       802	         0	         0
       729	         0	         0
       626	         0	         0
       498	         0	         0
       409	         0	         0
       390	         0	         0
       271	         0	         0
       216	         0	         0
       134	         0	         0
       179	         0	         0
       115	         0	         0
        76	         0	         0
        73	         0	         0
        51	         0	         0
        46	         0	         0
        20	         0	         0
